RIAD_CODE;BIC;COUNTRY_OF_REGISTRATION;NAME;BOX;ADDRESS;POSTAL;CITY;CATEGORY;HEAD_COUNTRY_OF_REGISTRATION;HEAD_NAME;HEAD_RIAD_CODE;RESERVE;EXEMPT;RIAD_CODE2
FR13838;;FR;CNH Industrial Capital Europe;;12 RUE DU PORT;92000;NANTERRE;Credit institution S122;;;;Y;N;FR13838
FR13878;;FR;Toyota kreditbank GmbH - Toyota France financement;;36 BOULEVARD DE LA REPUBLIQUE;92420;VAUCRESSON;Credit institution S122;DE;TOYOTA Kreditbank GmbH;DE04046;Y;N;FR13878
FR13906;AGRIFRCC839;FR;Caisse régionale de crédit agricole mutuel Sud Rhône-Alpes;BP 67;12 PLACE DE LA RESISTANCE;38000;GRENOBLE;Credit institution S122;;;;Y;N;FR13906
FR14006;AGRIGPGXXXX;FR;Caisse régionale de crédit agricole mutuel de la Guadeloupe;;PETIT PÉROU;97176;ABYMES CEDEX;Credit institution S122;;;;Y;N;FR14006
FR14078;;FR;Caisse de crédit municipal de Lille;C.S.60006;81 RUE GANTOIS;59040;LILLE CEDEX;Credit institution S122;;;;Y;N;FR14078
FR14120;LEGRFRP1XXX;FR;GRESHAM Banque;;20 RUE DE LA BAUME;75008;PARIS;Credit institution S122;;;;Y;N;FR14120
FR14139;NBPAFRPPXXX;FR;National bank of Pakistan;;25 RUE JEAN GIRAUDOUX;75116;PARIS 16;Credit institution S122;PK;National Bank of Pakistan;PK0ECBM00020;Y;N;FR14139
FR14218;;FR;Claas financial services;;12 RUE DU PORT;92000;NANTERRE;Credit institution S122;;;;Y;N;FR14218
FR14228;;FR;SGB Finance;;69 AVENUE DE FLANDRE;59700;MARCQ EN BAROEUL;Credit institution S122;;;;Y;N;FR14228
FR14265;;FR;Caisse d'épargne et de prévoyance Loire Drôme Ardèche;BP 147;ESPACE FAURIEL 17 RUE P. ET D. PONCHARDIER;42012;SAINT-ETIENNE CEDEX 2;Credit institution S122;;;;Y;N;FR14265
